country_,gdp_mean,gdp_sum,biofuel_cons_change_pct_mean,biofuel_cons_change_pct_sum,biofuel_share_elec_mean,biofuel_share_elec_sum,biofuel_share_energy_mean,biofuel_share_energy_sum,hydro_cons_change_pct_mean,hydro_cons_change_pct_sum,hydro_share_elec_mean,hydro_share_elec_sum,hydro_share_energy_mean,hydro_share_energy_sum,nuclear_cons_change_pct_mean,nuclear_cons_change_pct_sum,nuclear_share_elec_mean,nuclear_share_elec_sum,nuclear_share_energy_mean,nuclear_share_energy_sum,solar_cons_change_pct_mean,solar_cons_change_pct_sum,solar_share_elec_mean,solar_share_elec_sum,solar_share_energy_mean,solar_share_energy_sum,wind_cons_change_pct_mean,wind_cons_change_pct_sum,wind_share_elec_mean,wind_share_elec_sum,wind_share_energy_mean,wind_share_energy_sum,fossil_cons_change_pct_mean,fossil_cons_change_pct_sum,fossil_share_energy_mean,fossil_share_energy_sum,fossil_share_elec_mean,fossil_share_elec_sum,renewables_cons_change_pct_mean,renewables_cons_change_pct_sum,renewables_share_energy_mean,renewables_share_energy_sum,renewables_share_elec_mean,renewables_share_elec_sum
Brazil,2965401501696.0,14827007508480.0,3.6056,18.028,8.724599999999999,43.623,6.9858,34.929,3.2076000000000002,16.038,62.383799999999994,311.919,29.288800000000002,146.44400000000002,-1.347,-6.735,2.2885999999999997,11.443,1.0710000000000002,5.355,121.1184,605.592,1.9586,9.793,0.9858,4.929,14.2858,71.429,9.7586,48.793,4.658399999999999,23.291999999999998,-0.5172000000000003,-2.5860000000000016,52.0132,260.066,14.8858,74.429,4.5142,22.570999999999998,46.9156,234.578,82.8254,414.127
British Virgin Islands,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,100.0,400.0,,0.0,,0.0,0.0,0.0
Brunei,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,100.0,500.0,,0.0,,0.0,0.0,0.0
Bulgaria,132183000000.0,660915000000.0,13.541,67.705,4.474200000000001,22.371000000000002,1.0218,5.109,16.845000000000002,84.22500000000001,8.4582,42.291,4.7172,23.586,1.1518,5.7589999999999995,36.244,181.22,19.2732,96.366,8.271,41.355000000000004,3.257,16.285,1.8695999999999997,9.347999999999999,0.2564,1.282,3.0759999999999996,15.379999999999999,1.7193999999999998,8.597,0.5792000000000002,2.896000000000001,68.476,342.38,44.4904,222.452,11.5128,57.564,12.2508,61.254,19.2656,96.328
Burkina Faso,31315025920.0,125260103680.0,,0.0,0.0,0.0,,0.0,,0.0,6.81675,27.267,,0.0,,0.0,0.0,0.0,,0.0,,0.0,6.2075,24.83,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,86.976,347.904,,0.0,,0.0,13.024000000000001,52.096000000000004
Burundi,7314108928.0,36570544640.0,,0.0,2.979,14.895,,0.0,,0.0,60.9048,304.524,,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.979,14.895,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,33.1376,165.688,,0.0,,0.0,66.86240000000001,334.312
Cambodia,59541852160.0,238167408640.0,,0.0,3.28475,13.139,,0.0,,0.0,50.202,200.808,,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.4625,9.85,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,44.051,176.204,,0.0,,0.0,55.949,223.796
Cameroon,76168241152.0,304672964608.0,,0.0,0.0,0.0,,0.0,,0.0,62.89725,251.589,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.24275,0.971,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,36.86,147.44,,0.0,,0.0,63.14,252.56
Canada,1669401542656.0,8347007713280.0,-0.026600000000000002,-0.133,1.4532,7.266,0.6128,3.064,0.2192,1.096,60.545399999999994,302.727,25.8096,129.048,-2.9082,-14.541,14.3676,71.838,6.0972,30.486,11.142,55.71,0.72,3.6,0.3114,1.557,3.6735999999999995,18.368,5.5280000000000005,27.64,2.327,11.635,-0.4467999999999999,-2.2339999999999995,64.0524,320.262,17.3852,86.926,0.4232,2.116,29.850599999999996,149.253,68.2474,341.237
Cape Verde,3882678784.0,15530715136.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.224,8.896,,0.0,,0.0,14.9735,59.894,,0.0,,0.0,,0.0,82.80225,331.209,,0.0,,0.0,17.19775,68.791
